UF,Grau Instrucao,Admitidos,Desligados,Total
 Rondonia,Total,4169,3603,7772
 Rondonia,Analfabeto,22,26,48
 Rondonia,Fundamental Completo,391,267,658
 Rondonia,Médio Incompleto,510,447,957
 Rondonia,Médio Completo,2728,2421,5149
 Rondonia,Superior Incompleto,149,137,286
 Rondonia,Superior Completo,369,305,674
 Acre,Total,3689,3306,6995
 Acre,Analfabeto,14,26,40
 Acre,Fundamental Completo,226,176,402
 Acre,Médio Incompleto,170,161,331
 Acre,Médio Completo,3050,2561,5611
 Acre,Superior Incompleto,60,105,165
 Acre,Superior Completo,169,277,446
 Amazonas,Total,15874,14391,30265
 Amazonas,Analfabeto,62,33,95
 Amazonas,Fundamental Completo,1178,1102,2280
 Amazonas,Médio Incompleto,947,1050,1997
 Amazonas,Médio Completo,11563,10375,21938
 Amazonas,Superior Incompleto,637,547,1184
 Amazonas,Superior Completo,1487,1284,2771
 Roraima,Total,3192,2759,5951
 Roraima,Analfabeto,42,33,75
 Roraima,Fundamental Completo,366,326,692
 Roraima,Médio Incompleto,153,113,266
 Roraima,Médio Completo,2326,2026,4352
 Roraima,Superior Incompleto,62,65,127
 Roraima,Superior Completo,243,196,439
 Para,Total,11888,10119,22007
 Para,Analfabeto,104,143,247
 Para,Fundamental Completo,1724,1561,3285
 Para,Médio Incompleto,1133,1020,2153
 Para,Médio Completo,7617,6343,13960
 Para,Superior Incompleto,310,261,571
 Para,Superior Completo,1000,791,1791
 Amapa,Total,2603,2672,5275
 Amapa,Analfabeto,7,4,11
 Amapa,Fundamental Completo,134,267,401
 Amapa,Médio Incompleto,194,183,377
 Amapa,Médio Completo,1948,1938,3886
 Amapa,Superior Incompleto,56,85,141
 Amapa,Superior Completo,264,195,459
 Tocantins,Total,5253,3668,8921
 Tocantins,Analfabeto,30,27,57
 Tocantins,Fundamental Completo,275,207,482
 Tocantins,Médio Incompleto,365,270,635
 Tocantins,Médio Completo,4063,2832,6895
 Tocantins,Superior Incompleto,183,95,278
 Tocantins,Superior Completo,337,237,574
 Maranhao,Total,10183,9271,19454
 Maranhao,Analfabeto,181,211,392
 Maranhao,Fundamental Completo,1043,957,2000
 Maranhao,Médio Incompleto,380,403,783
 Maranhao,Médio Completo,7406,6691,14097
 Maranhao,Superior Incompleto,295,186,481
 Maranhao,Superior Completo,878,823,1701
 Piaui,Total,5077,3701,8778
 Piaui,Analfabeto,59,41,100
 Piaui,Fundamental Completo,755,520,1275
 Piaui,Médio Incompleto,462,402,864
 Piaui,Médio Completo,3124,2287,5411
 Piaui,Superior Incompleto,152,124,276
 Piaui,Superior Completo,525,327,852
 Ceara,Total,12729,12139,24868
 Ceara,Analfabeto,90,82,172
 Ceara,Fundamental Completo,1270,1217,2487
 Ceara,Médio Incompleto,655,843,1498
 Ceara,Médio Completo,8843,8290,17133
 Ceara,Superior Incompleto,458,415,873
 Ceara,Superior Completo,1413,1292,2705
 Rio Grande do Norte,Total,4416,3809,8225
 Rio Grande do Norte,Analfabeto,38,38,76
 Rio Grande do Norte,Fundamental Completo,501,322,823
 Rio Grande do Norte,Médio Incompleto,350,299,649
 Rio Grande do Norte,Médio Completo,2953,2656,5609
 Rio Grande do Norte,Superior Incompleto,126,120,246
 Rio Grande do Norte,Superior Completo,448,374,822
 Paraiba,Total,4628,3136,7764
 Paraiba,Analfabeto,82,50,132
 Paraiba,Fundamental Completo,277,355,632
 Paraiba,Médio Incompleto,223,309,532
